faction,iteration,games,wins,win_rate,avg_game_len
nilfgaardian,1,150,60,0.4,9.200000000000001
monster,1,150,84,0.56,10.42
northern,1,150,68,0.4533333333333333,9.173333333333334
scoiatael,1,150,83,0.5533333333333333,10.273333333333333
nilfgaardian,2,60,24,0.4,8.866666666666667
monster,2,60,32,0.5333333333333333,9.533333333333333
northern,2,60,30,0.5,9.816666666666666
scoiatael,2,60,33,0.55,10.15
nilfgaardian,3,30,16,0.5333333333333333,8.2
monster,3,30,14,0.4666666666666667,9.2
northern,3,30,15,0.5,10.233333333333333
scoiatael,3,30,15,0.5,9.366666666666667
nilfgaardian,4,30,14,0.4666666666666667,15.7
monster,4,30,19,0.6333333333333333,15.933333333333334
northern,4,30,14,0.4666666666666667,16.133333333333333
scoiatael,4,30,13,0.43333333333333335,16.433333333333334
