,iteration,faction,game_duration
0,4,monster,19.0
1,4,nilfgaardian,19.0
2,4,monster,19.0
3,4,northern,19.0
4,4,monster,7.0
5,4,scoiatael,7.0
6,4,nilfgaardian,15.0
7,4,northern,15.0
8,4,nilfgaardian,22.0
9,4,scoiatael,22.0
10,4,northern,11.0
11,4,scoiatael,11.0
12,4,monster,11.0
13,4,nilfgaardian,11.0
14,4,monster,27.0
15,4,northern,27.0
16,4,monster,16.0
17,4,scoiatael,16.0
18,4,nilfgaardian,9.0
19,4,northern,9.0
20,4,nilfgaardian,19.0
21,4,scoiatael,19.0
22,4,northern,15.0
23,4,scoiatael,15.0
24,4,monster,17.0
25,4,nilfgaardian,17.0
26,4,monster,15.0
27,4,northern,15.0
28,4,monster,16.0
29,4,scoiatael,16.0
30,4,nilfgaardian,21.0
31,4,northern,21.0
32,4,nilfgaardian,11.0
33,4,scoiatael,11.0
34,4,northern,19.0
35,4,scoiatael,19.0
36,4,monster,13.0
37,4,nilfgaardian,13.0
38,4,monster,19.0
39,4,northern,19.0
40,4,monster,7.0
41,4,scoiatael,7.0
42,4,nilfgaardian,13.0
43,4,northern,13.0
44,4,nilfgaardian,25.0
45,4,scoiatael,25.0
46,4,northern,11.0
47,4,scoiatael,11.0
48,4,monster,14.0
49,4,nilfgaardian,14.0
50,4,monster,20.0
51,4,northern,20.0
52,4,monster,14.0
53,4,scoiatael,14.0
54,4,nilfgaardian,15.0
55,4,northern,15.0
56,4,nilfgaardian,19.0
57,4,scoiatael,19.0
58,4,northern,18.0
59,4,scoiatael,18.0
60,4,monster,14.0
61,4,nilfgaardian,14.0
62,4,monster,18.0
63,4,northern,18.0
64,4,monster,19.0
65,4,scoiatael,19.0
66,4,nilfgaardian,11.0
67,4,northern,11.0
68,4,nilfgaardian,18.0
69,4,scoiatael,18.0
70,4,northern,12.0
71,4,scoiatael,12.0
72,4,monster,19.0
73,4,nilfgaardian,19.0
74,4,monster,20.0
75,4,northern,20.0
76,4,monster,22.0
77,4,scoiatael,22.0
78,4,nilfgaardian,17.0
79,4,northern,17.0
80,4,nilfgaardian,16.0
81,4,scoiatael,16.0
82,4,northern,22.0
83,4,scoiatael,22.0
84,4,monster,20.0
85,4,nilfgaardian,20.0
86,4,monster,14.0
87,4,northern,14.0
88,4,monster,11.0
89,4,scoiatael,11.0
90,4,nilfgaardian,9.0
91,4,northern,9.0
92,4,nilfgaardian,20.0
93,4,scoiatael,20.0
94,4,northern,28.0
95,4,scoiatael,28.0
96,4,monster,16.0
97,4,nilfgaardian,16.0
98,4,monster,20.0
99,4,northern,20.0
100,4,monster,13.0
101,4,scoiatael,13.0
102,4,nilfgaardian,13.0
103,4,northern,13.0
104,4,nilfgaardian,16.0
105,4,scoiatael,16.0
106,4,northern,16.0
107,4,scoiatael,16.0
108,4,monster,5.0
109,4,nilfgaardian,5.0
110,4,monster,12.0
111,4,northern,12.0
112,4,monster,21.0
113,4,scoiatael,21.0
114,4,nilfgaardian,15.0
115,4,northern,15.0
116,4,nilfgaardian,19.0
117,4,scoiatael,19.0
118,4,northern,10.0
119,4,scoiatael,10.0
